2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: 20250801_132658_74dce5a2-79b3-4bc2-bf1c-7852861c110e.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: files/temp/20250801_132658_74dce5a2-79b3-4bc2-bf1c-7852861c110e.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados brutos concluída. Tempo: 7.7s, Arquivo: 25.2 KB, Tamanho: 88 chars
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_dados_brutos:279 | Extração de dados brutos concluída com sucesso: exemplo.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_132658_74dce5a2-79b3-4bc2-bf1c-7852861c110e.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_dados_brutos:247 | Iniciando extração de dados brutos: exemplo.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: files/temp/20250801_132706_d6e6d689-99c9-45f7-b3eb-8ecc4f563a0e.pdf (Tamanho: 25.2 KB)
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_dados_brutos:259 | Arquivo salvo temporariamente: files/temp/20250801_132706_d6e6d689-99c9-45f7-b3eb-8ecc4f563a0e.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: 20250801_132706_d6e6d689-99c9-45f7-b3eb-8ecc4f563a0e.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: pypdf para arquivo: files/temp/20250801_132706_d6e6d689-99c9-45f7-b3eb-8ecc4f563a0e.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados brutos concluída. Tempo: 13ms, Arquivo: 25.2 KB, Tamanho: 88 chars
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_dados_brutos:279 | Extração de dados brutos concluída com sucesso: exemplo.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_132706_d6e6d689-99c9-45f7-b3eb-8ecc4f563a0e.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_imagens:316 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: files/temp/20250801_132706_6cdfae44-790d-49fb-bcb3-57b56a5817a7.pdf (Tamanho: 25.2 KB)
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_imagens:328 | Arquivo salvo temporariamente: files/temp/20250801_132706_6cdfae44-790d-49fb-bcb3-57b56a5817a7.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: 20250801_132706_6cdfae44-790d-49fb-bcb3-57b56a5817a7.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: pypdf para arquivo: files/temp/20250801_132706_6cdfae44-790d-49fb-bcb3-57b56a5817a7.pdf
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_132706_6cdfae44-790d-49fb-bcb3-57b56a5817a7.pdf
2025-08-01 13:27:06 | ERROR    | modules.leitor_documentos.router:_handle_extraction_error:140 | Funcionalidade não implementada na extração de imagens: Extração de imagens não suportada pelo PypdfExtractor.
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:183 | Iniciando extração para markdown: exemplo.docx
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: files/temp/20250801_132706_1529413c-65a1-4ce5-ab1d-6123110c546f.docx (Tamanho: 23.6 KB)
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:195 | Arquivo salvo temporariamente: files/temp/20250801_132706_1529413c-65a1-4ce5-ab1d-6123110c546f.docx
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: 20250801_132706_1529413c-65a1-4ce5-ab1d-6123110c546f.docx
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_docx para arquivo: files/temp/20250801_132706_1529413c-65a1-4ce5-ab1d-6123110c546f.docx
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração para markdown concluída. Tempo: 114ms, Arquivo: 23.6 KB, Tamanho: 6666 chars
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:215 | Extração markdown concluída com sucesso: exemplo.docx
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_132706_1529413c-65a1-4ce5-ab1d-6123110c546f.docx
2025-08-01 13:27:06 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:183 | Iniciando extração para markdown: exemplo.docx
